"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"155","Tripura","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","122500000"
"156","Punjab","Shri Rajinder Gupta (2025-28) (2025-2028)","Elected MP","49000000"
"157","Madhya Pradesh","Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032)","Elected MP","49000000"
"158","Bihar","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","65673638.730000004"
"159","Maharashtra","Shri Ramdas Bandu Athawale (2026-32) (2026-2032)","Elected MP","49000000"
"160","Uttar Pradesh","Shri Ramji (2020-26) (2020-2026)","Elected MP","174518577.11"
"161","Uttar Pradesh","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","147000000"
"162","Maharashtra","Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032)","Elected MP","49000000"
"163","Rajasthan","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","196063957.11"
"164","Uttar Pradesh","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","147000000"
"165","Telangana","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","152732534.11"
"166","Assam","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","220563957.11"
"167","Andhra Pradesh","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","170413583.79"
"168","Andhra Pradesh","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","224621383.11"
"169","Gujarat","Shri S. Jaishankar (2023-29) (2023-2029)","Elected MP","171500000"
"170","Tamil Nadu","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","239763792.52"
"171","Puducherry","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","292881856.49"
"172","Tamil Nadu","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","89248285.42"
